id,tahun,source,jenis_bansos,question,answer,length
1,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Apa itu orang dengan HIV atau ODHIV?,ODHIV adalah orang yang terinfeksi HIV.,75
2,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Apa itu pemerintah pusat?,Pemerintah pusat adalah presiden republik indonesia.,77
3,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu lansia?,Lansia adalah seseorang yang berumur 60 tahun ke atas.,69
4,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,ekanis,Pengawasan bertujuan meningkatkan kualitas pelayanan kepada penerima PKH.,79
5,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Ahli Gizi?,Ahli gizi adalah orang yang berprofesi di bidang gizi dan makanan.,84
6,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa jenis graduasi dalam PKH?,Graduasi terdiri dari graduasi alamiah dan graduasi hasil.,87
7,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu BPJS?,BPJS Kesehatan adalah badan hukum yang menyelenggarakan jaminan kesehatan.,87
8,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu menteri?,Menteri adalah pejabat yang mengurus urusan pemerintahan di bidang sosial.,90
9,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apakah pendamping sosial PKH bisa menjadi KPM?,Pendamping sosial PKH tidak boleh menjadi KPM.,92
10,2025,,PERMAKANAN,Apa syarat penerima program Permakanan?,Peserta harus lansia atau penyandang disabilitas.,88
11,2025,,DTKS,Jenis bantuan sosial apa yang terdapat pada Kemensos?,"BPNT, PBI, PENA, Permakanan, PKH, RST, YAPI.",97
12,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa itu validasi data?,Validasi data adalah proses memastikan dan memperbaiki data agar menjadi valid.,101
13,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu graduasi?,Graduasi adalah pengakhiran kepesertaan KPM dari bantuan sosial setelah dinilai mandiri.,105
14,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu PBI?,PBI adalah fakir miskin dan orang tidak mampu yang terdaftar dalam program jaminan kesehatan.,105
15,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Transformasi Kepesertaan?,Transformasi kepesertaan adalah proses pengakhiran status sebagai KPM PKH.,107
16,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 4 Tahun 2023,BPNT,Kapan evaluasi bantuan Program Sembako dilakukan?,Evaluasi dilakukan setiap enam bulan atau sesuai kebutuhan.,108
17,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Apa itu DJSN?,Djsn adalah badan yang membantu presiden merumuskan kebijakan umum sistem jaminan sosial nasional.,111
18,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu petugas kirim?,Petugas kirim adalah petugas yang mengantar makanan ke alamat penerima bantuan permakanan.,112
19,2025,,DTKS,Apakah narapidana bisa diusulkan masuk DTKS?,"Bisa, selama melalui musdes atau muskel sesuai ketentuan usulan DTKS.",113
20,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Regional?,Regional adalah wilayah tertentu dalam pelaksanaan PKH yang dikelompokkan berdasarkan geografis.,113
